2020-05-07 15:10:57,708 [AUDIT] Token created by 'jffe@000': tokenId='b2508432-7062-42c4-b254-598633b90f47', issuer='jffe@000', subject='jffe@000', expiry=1588864857700, refreshable=false
2020-05-07 19:04:23,463 [AUDIT] Token created by 'anonymous': tokenId='fe389aa7-d616-4a13-98ce-1ccd2885a43a', issuer='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', subject='jfrou@01e7gh1vnsmkrfkfs5bjywmka9', expiry=none, refreshable=false
2020-05-07 19:04:24,899 [AUDIT] Token created by 'anonymous': tokenId='0e93793a-a7ff-4835-b903-c9c77860f497', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588878384894, refreshable=false
2020-05-07 19:04:25,037 [AUDIT] Token created by 'anonymous': tokenId='08d8c2ab-14fc-4a12-9e4e-ff553f719780', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588878385035, refreshable=false
2020-05-07 19:04:25,266 [AUDIT] Token created by 'anonymous': tokenId='042571aa-b9d1-4796-9a9e-3d7c9c197ae6', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588878385263, refreshable=false
2020-05-07 19:04:25,683 [AUDIT] Token created by 'anonymous': tokenId='d37808de-7de8-44ef-8969-8252af35b844', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588878385681, refreshable=false
2020-05-07 19:04:26,502 [AUDIT] Token created by 'anonymous': tokenId='6551b9ac-e0d8-4a33-a0a5-b9c2d4f389af', issuer='jfac@01e7gh1jzpjqf611kj5rvk1nkt', subject='jfac@01e7gh1jzpjqf611kj5rvk1nkt', expiry=1588878386500, refreshable=false
2020-05-07 19:04:26,768 [AUDIT] Token created by 'anonymous': tokenId='da2d6c74-a40c-4daf-9391-64ffae3accd6', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=none, refreshable=false
2020-05-07 19:04:27,163 [AUDIT] Token created by 'anonymous': tokenId='b3b82315-0600-4a8e-bf36-a6b5e5d3ba9e', issuer='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', subject='jfmd@01e7gh1za6qz2t4vmqtcnbe4vr', expiry=none, refreshable=false
2020-05-07 19:04:30,159 [AUDIT] Token created by 'jfrt@01e7gh2d0pr6jb13k3zmwt0tvb': tokenId='24f37f30-1ab4-47c9-b34e-c24ee3b129b4', issuer='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', subject='jfrt@01e7gh2d0pr6jb13k3zmwt0tvb', expiry=2534958270155, refreshable=false
2020-05-07 19:04:42,095 [AUDIT] Token created by 'anonymous': tokenId='93a24f3d-886e-42c1-beac-6f2edf04ddfe', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-05-07 19:04:42,298 [AUDIT] Token created by 'jffe@000': tokenId='b8eb209c-b915-4a16-b7b2-d0f0b239322e', issuer='jffe@000', subject='jffe@000', expiry=1588878882296, refreshable=false
2020-05-07 19:14:45,274 [AUDIT] Token created by 'jffe@000': tokenId='73eccc14-377b-4f22-9e4e-6702e9e7b17a', issuer='jffe@000', subject='jffe@000', expiry=1588879485272, refreshable=false
2020-05-07 19:14:45,275 [AUDIT] Token created by 'jffe@000': tokenId='54c0e1e5-3798-40bb-9802-6d5ce446131e', issuer='jffe@000', subject='jffe@000', expiry=1588879485274, refreshable=false
2020-05-07 19:14:45,282 [AUDIT] Token created by 'jffe@000': tokenId='37e0c55c-5c00-4bf8-8a9b-37f93485fe87', issuer='jffe@000', subject='jffe@000', expiry=1588879485276, refreshable=false
2020-05-07 19:14:45,282 [AUDIT] Token created by 'jffe@000': tokenId='1a8d6223-e93b-4a7f-a7e5-f62fb3f451bd', issuer='jffe@000', subject='jffe@000', expiry=1588879485276, refreshable=false
