2020-05-04T19:20:36.470Z|4065559a6c3b36ff|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/canAnnotate?repoKey=libs-release&path=&$no_spinner=true|200|4|-|30.412|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:40.129Z|f1c989f945feaad |::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|88.957|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:40.145Z|1e6fa880b8cba1e3|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp|200|750|-|111.359|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:40.146Z|30433291696c15c9|::ffff:127.0.0.1|admin|HEAD|/api/v1/ui/userApiKey?$no_spinner=true|404|0|-|113.533|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:40.260Z|344d6f10c333a62 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-release|200|253|-|44.823|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:52.175Z|3033225ee5a48209|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|44.590|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:21:17.185Z|4804058cde638b4d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|47.383|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:21:39.018Z|599592190501b868|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-snapshot-local|200|279|-|66.713|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:21:40.967Z|a0993e0ab2ff5db |::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-snapshot|200|273|-|51.971|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:21:42.171Z|192917cd65295b9 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|29.180|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:06.685Z|70bb940dbaddf075|::ffff:127.0.0.1|admin|GET|/api/v1/ui/setMeUp/mavenDistributionManagement?repoKey=libs-snapshot-local|200|279|-|58.012|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:22:07.166Z|38241b12f52256c |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|25.838|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
